seqno,pseudo_date,variety,variety_num,variety_freq,price,variety_price,country,description,designation,points,province,province_num,region_1,region_2,winery
109694,3/20/2018,Cabernet Sauvignon,7,10,42,32,US,"A lovely, complex and flavorful Cab, but also tannic, giving it a lockdown feeling. There's a rich core of blackberries, black currants, spices and herbs, while new oak gives it a savory smokiness. Better after 2010, and should glide through 2014.",,92,California,6,Alexander Valley,Sonoma,Stonestreet
119156,3/25/2018,Cabernet Sauvignon,7,10,42,32,US,"Sharp and disagreeable, with a cut of acidity that's intrusive to the palate. Overripe, too, with a taste of raisins and prunes.",Quixotic,82,California,6,Paso Robles,Central Coast,Oso Libre
105720,3/18/2018,Cabernet Sauvignon,7,10,14,32,Chile,"Bold, rubbery, lively Cabernet, with plenty of color, tannin and body. The palate is a bit angular and sheering, with snappy red-fruit flavors that rank as good but generic. The mouthfeel pops courtesy of blazing acidity, while the finish has some scour to it. Fresh, forward but not super generous.",Los Vascos,86,Colchagua Valley,12,,,Domaines Barons de Rothschild (Lafite)
81573,3/1/2018,Cabernet Sauvignon,7,10,12,32,Australia,"This wine's tobacco and cassis notes are textbook Cabernet, although it stands out for its velvety tannins and rich mouthfeel. The fruit is dark, verging on date-like or chocolaty, yet the wine retains a sense of structure throughout the long, textured finish. Fine to drink now, but it should last a few years if you decide to wait.",Koonunga Hill,88,South Australia,26,South Australia,,Penfolds
147993,4/8/2018,Cabernet Sauvignon,7,10,15,32,Australia,"Out of the chute, the aromas are sweet and cloying, but settle to reveal cured meat and leather notes. Purple fruit on the palate has its share of stably, briary accents, on through the finish. It's not the deepest, broadest wine on the block, but its unusual profile merits it a look, particularly with food. Imported by Indigo Wine Group.",,87,Victoria,31,King Valley,,Boggy Creek
101512,3/16/2018,Cabernet Sauvignon,7,10,32,32,US,"This is 100% varietal and, most unusually for Klipsun, finished at just 13.2% alcohol. Dusty and more concentrated than the Seven Hills vineyard Cab, it brings fruity sweetness on the palate, with sweet blueberry aromas as well. The tannins are astringent, with suggestions of earthy, licorice and iron notes.",Klipsun Vineyard,89,Washington,32,Red Mountain,Columbia Valley,Seven Hills
42762,1/27/2018,Cabernet Sauvignon,7,10,20,32,South Africa,"Sumptuous blackberry, cassis and mocha aromas and flavors are delivered in a smooth, lush wave in this sexy Cabernet. Balanced, approachable and ending with a lively, spicy finish, the wine is versatile and will pair well with game, roast lamb.",Manor House,86,Western Cape,34,,,Nederburg
5656,1/4/2018,Carmenère,8,2,17,32,Chile,"Hard, rubbery blackberry and black-currant flavors are herbal but settle with airing. This feels round, fresh and fair. Flavors of spiced plum, blackberry, carob and generic spices finish dark and foresty, with good overall balance.",Gran Reserva Sibaris,88,Colchagua Valley,12,,,Undurraga
85213,3/2/2018,Carmenère,8,2,47,32,US,"Chuck Reininger sources the fruit for this wine from what is arguably the best site in the Walla Walla Valley. The wine does not shy away from the herbal aspect for which Carmenère is known, but the stemminess is mitigated thanks to the influence of new French oak. A cherry candy note consolidates the flavors on the medium-long finish.",Seven Hills Vineyard,88,Washington,32,Walla Walla Valley (WA),Columbia Valley,Reininger
53700,2/6/2018,Champagne Blend,9,2,290,157.25,France,"A gloriously rich rosé that is full of ripe raspberries that burst in the mouth. It has a tight texture, balanced by a rounded feel. It is still young, of course, and the sweet finish needs time to integrate. Even so, relish the wine now, or wait 3–4 years.",Comtes de Champagne Rosé Brut,93,Champagne,11,Champagne,,Taittinger
62037,2/14/2018,Champagne Blend,9,2,24.5,157.25,France,"If this seems soft at first, that's the year. Soon enough, the hallmark Gosset acidity and minerality show through, with the addition of spicy pear and some toast. They give a tightness to the wine, a coiled spring effect, that shows through all that rich fruit right to the aftertaste.",Grand Millésime Brut,92,Champagne,11,Champagne,,Gosset
44396,1/29/2018,Charbono,10,1,33,33,US,"Gritty in tannins and rustic in the mouth, this Charbono also is deficient in acidity. With those reservations, it's dry and rich in cherry, cocoa and tobacco flavors.",,85,California,6,Napa Valley,Napa,Tofanelli Family
23989,1/16/2018,Chardonnay,11,11,60,22.81818182,France,"A wine that is destined for good aging, with its mineral structure and toast flavors. It has weight and richness but equally it has intense pear and citrus fruits layered with acidity. Age for at least four years.",Mont de Milieu Premier Cru,92,Burgundy,5,Chablis,,Domaine Vrignaud
21941,1/12/2018,Chardonnay,11,11,14,22.81818182,US,"A little sweet and rustic, but rich in pineapple jam and buttered toast flavors. Brisk acidity helps to balance out the sugary taste.",Reserve,83,California,6,Sonoma County-Santa Barbara County,California Other,Angeline
44350,1/28/2018,Chardonnay,11,11,32,22.81818182,US,"From a vineyard site farmed by the Duttons called Matthew's Station, this is a gentle wine, medium in weight, with nuances of green apple and fresh-squeezed lemon. Balanced, it offers a twist of toffee and oak beneath its crisper notes, finishing warm in nutmeg and ginger spice.",,90,California,6,Russian River Valley,Sonoma,MacRostie
76037,2/26/2018,Chardonnay,11,11,26,22.81818182,US,"Sweet and oaky, with orange, pineapple and pear jam, buttered toast and vanilla flavors. Plays it safe down the middle by appealing to the popular taste.",,86,California,6,Russian River Valley,Sonoma,Hanna
100862,3/15/2018,Chardonnay,11,11,13,22.81818182,US,"Basically dry but a little raisined, this has apricot jam and lemon candy flavors. Although the new oak is modest, it seems to dominate, with a woody, toothpicky heaviness.",,83,California,6,Monterey,Central Coast,Maddalena
144130,4/4/2018,Chardonnay,11,11,25,22.81818182,US,"Iron Horse joins the unoaked Chard bandwagon with this dry, complex wine. Their estate grapes are so good, the wine doesn't even need all that wood. It's elaborately tailored in pineapple, mango, ripe white peach and spicebox flavors. The vanilla and smoke, which have got to come from the grapes, add extra deliciousness.",UnOaked,91,California,6,Green Valley,Sonoma,Iron Horse
66337,2/19/2018,Chardonnay,11,11,15,22.81818182,New Zealand,"A clear step down from Brancott's single-estate Chardonnay bottlings, this wine offers vanilla and spice notes, modest fruit and a menthol-tinged finish.",Reserve,84,Gisborne,14,,,Brancott
149267,4/10/2018,Chardonnay,11,11,9,22.81818182,Argentina,"Fresh, tropical, and welcoming. Sweet and lush in the mouth with a full blast of mango and melon flavors. Medium-bodied with good acidity. Finishes correct and everything seems to be united and put together. Above-average value Chardonnay from Argentina.",,86,Mendoza Province,16,Uco Valley,,Cabra Montes
38690,1/22/2018,Chardonnay,11,11,27,22.81818182,US,"This fine-honed Chardonnay hews to the Eyrie house style. It may seem austere at first, but the green and yellow fruit flavors are ripe, not vegetal, and the firm acidity makes it a fine food match. Give it plenty of time to breathe before serving.",Estate,88,Oregon,22,Dundee Hills,Willamette Valley,The Eyrie Vineyards
61115,2/12/2018,Chardonnay,11,11,14,22.81818182,Australia,"This unoaked Chard is floral, feminine and a little soft, showing melon, citrus, talc powder and apple aromas and flavors. A good warm-weather choice for picnics or parties. Imported by Conquest Beverage Group.",,86,Western Australia,33,Western Australia,,Bush Bike
147459,4/7/2018,Chardonnay,11,11,16,22.81818182,South Africa,"Lightly oaked, with a moderate nose of yellow fruit and spice. The palate is round, with a dusty feel and flavors of peach and vanilla. Finishes warm, with acidity.",,85,Western Cape,34,,,Boschendal
65527,2/17/2018,"Corvina, Rondinella, Molinara",12,1,42,42,Italy,"Brothers Cesare and Giampaolo Vaona bring us a modern Amarone with a tonic, tight consistency and loads of exotic spice—from cardamom to cinnamon—backed by cherry cola, cassis and dried prune. Those intense spice flavors are what set this wine, aged 24 months in barrique, apart.",Corte Vaona,90,Veneto,30,Amarone della Valpolicella Classico,,Novaia
122249,3/26/2018,Garnacha,13,1,18,18,Spain,"Nothing outrageous but this Garnacha, which now has a little age on it, is more than satisfying. The nose delivers cherry, plum and even a little cookie, while the savory palate features molasses, plum and spice. Subtle, composed and sort of old-school. Drink now.",Selección Reserva,87,Northern Spain,21,Navarra,,Bodegas Alconde
65594,2/18/2018,Gewürztraminer,14,1,12,12,US,"An exquisite wine that combines delicacy and harmony with enormously fruity-spicy flavors that fill the mouth. The aromas suggest candied ginger, tropical fruits, vanilla and wildflowers. The flavors are effusively fruity and on the dry side, with refreshingly crisp acidity. Try it with Asian-Pacific fusion foods.",,87,California,6,Sonoma County,Sonoma,Mark West
146868,4/6/2018,Godello,15,1,10,10,Spain,"Crisply made, with a strong emphasis on green apples. This is a zesty, flinty white made for warm-weather drinking. Despite being 100% Godello it has a lot in common with Sauvignon Blanc.",Montenovo,87,Northern Spain,21,Valdeorras,,Bodegas Valderroa
96078,3/12/2018,Grüner Veltliner,16,1,15,15,Austria,"A deliciously light, fresh, grassy Grüner, crisp, with a great label, lively level of acidity and bright green plum flavors. There is just a touch of pepper to make this a friendly food wine. Imported by Frederick Wildman & Sons, Ltd.",Grooner,85,Niederösterreich,20,,,Forstreiter
148259,4/9/2018,Greco,17,1,21,21,Italy,"Heavily reduced citrus on the nose, with more piercing citrus and mango on the palate. Finishes racy but scouring. Some nuttiness and charm lurks below the spiked acidity, but you have to work to find it.",Loggia Della Serra,83,Southern Italy,27,Greco di Tufo,,Terredora Di Paolo
23022,1/15/2018,Malbec,18,1,18,18,Argentina,"Meaty, dense and rich aromas, with driving scents of prune, licorice, blackberry and cola. The palate is healthy and rich, and it keeps in step with flavors of blackberry, dark plum and savory spice. Finishes lightly roasted and dark, with a saucy aftertaste that separates it from the masses. A lusty Malbec to drink now.",Reserva,89,Mendoza Province,16,Mendoza,,Ruca Malen
127195,3/29/2018,Merlot,19,3,17,20.33333333,US,"The nose is a pleasant harmony of dark, ripe fruit, espresso grinds and carefully charred French oak. Coffee and cigar box notes carry through the palate as well, marrying with fresher red-fruit flavors. There's quite a bit of tannin to grapple with still, but overall, it's a pleasant medium-bodied red.",,86,New Mexico,18,New Mexico,,Vivác Winery
117156,3/24/2018,Merlot,19,3,22,20.33333333,US,"A bit disappointing on the nose; pickle barrel and onion are supported by moderate spice. This is a dark, extracted wine with dusty tannins and a lean feel. Cherry/berry fruit flavors are shy as they compete with tomato, spice and onion before finishing metallic.",Reserve,83,New York,19,"The Hamptons, Long Island",Long Island,Wölffer
96886,3/13/2018,Merlot,19,3,22,20.33333333,US,"A blocky, toasty, chewy wine with a flavor mix of herb and earth and berries. The tannins are rough and leave a slightly bitter impression.",,85,Washington,32,Columbia Valley (WA),Columbia Valley,Mercer
87879,3/5/2018,Mourvèdre,20,1,35,35,Australia,"Mourvèdre—often called Mataro in Australia—isn't often seen on its own, but this is a solid example. Toast, mint and vanilla notes mark the nose, while dark, plummy fruit comes through on the palate. The tannins are surprisingly soft for the variety, but the wine finishes with crisp acids.",The Twentyeight Road,87,South Australia,26,McLaren Vale,,D'Arenberg
31245,1/19/2018,Nebbiolo,21,3,50,37.83333333,Italy,"Red berry, rose and anise aromas mingle in the glass. The firm palate is still closed, but offers raw red berry, menthol, sage and anisette. It's still rather primary but has the structure to evolve and develop complexity. Drink after 2019.",Le Coste di Monforte,91,Piedmont,23,Barolo,,Amalia
52828,2/5/2018,Nebbiolo,21,3,24.5,37.83333333,Italy,"Riserva Broglio Barolo from Schiavenza opens with generous tones of red berry fruit, spice, vanilla, polished mineral, licorice and cola. It is already showing some delicate tertiary aromas and, in the mouth, you can feel the fine texture of the tannins. Hold five more years.",Broglio Riserva,94,Piedmont,23,Barolo,,Schiavenza
53723,2/7/2018,Nebbiolo,21,3,39,37.83333333,Italy,"Compared to the estate's S. Caterina expression of Barolo, the Lazzairasco cru delivers higher intensity in terms of its spice and vanilla tones. The wine is young, well structured, lively and fresh with a very elegant mouthfeel.",Vigna Lazzairasco,92,Piedmont,23,Barolo,,Guido Porro
7222,1/6/2018,Petite Sirah,22,2,42,35,US,"A bright, floral fragrance invites one to further explore this softly structured wine. It's layered with ripe red fruit, leather and pepper flavors that are carried into the finish by tight, grippy tannins.",Estate,90,California,6,Russian River Valley,Sonoma,Viszlay Vineyards
88077,3/7/2018,Petite Sirah,22,2,28,35,US,"Darkly colored and thick in tannins, it's a big wine, explosive in flavors of cherry, blackberry and grilled meat. The alcohol is high, and there are some pruny notes, but that's part of its charm.",Piccetti Vineyard,88,California,6,Dry Creek Valley,Sonoma,Miro
94325,3/10/2018,Pinot Blanc,23,1,20,20,France,"Notes of unwelcome botrytis detract from an already uninspiring nose. The palate is an improvement, however, with attractive flavors of lanolin and gardenia. This medium-bodied wine finishes with a kick of acidity, making it a good partner for fresh shellfish.",Réserve,82,Alsace,1,Alsace,,Pierre Sparr
70727,2/23/2018,Pinot Gris,24,1,18,18,New Zealand,"A broad, richly textured wine made in a dry style, this packs in the pear, nectarine and melon flavors, then wraps them up with touches of spice on a harmonious, long finish. Drink now.",Vineyard Reserve,90,Central Otago,8,,,Kawarau Estate
22260,1/13/2018,Pinot Noir,25,9,36,34.22222222,US,"A nice evocation of Santa Maria Valley Pinot Noir, showing rich raspberry, cherry, persimmon and crushed dark spice flavors, framed in a silky texture. Produced from the Solomon Hills and Sierra Madre vineyards. Now–2016.",,90,California,6,Santa Maria Valley,Central Coast,Rusack
26701,1/18/2018,Pinot Noir,25,9,48,34.22222222,US,"This has been Riverbench's best Pinot and it still is. Shows the wonderful ability to be deliciously drinkable now, yet with the stuffing for the cellar. Dry and crisp and full-bodied, it shows berry, currants, mushroom, grilled meat and sandalwood flavors, dusted with Indian spices. Now–2015.",Mesa,92,California,6,Santa Maria Valley,Central Coast,Riverbench
47450,2/2/2018,Pinot Noir,25,9,50,34.22222222,US,"Another dramatically layered Pinot Noir from this fine producer and vineyard, in the Central Coast. A remarkably consistent bottling over the years, and now the '09 is perhaps the ripest and purest yet, showing deep flavors of berries, licorice, sandalwood and tangy Indian spices. It's a big, powerful wine, yet never loses graceful subtlety and elegance. Should develop slowly over the next six years, at least.",Double L Vineyard,94,California,6,Santa Lucia Highlands,Central Coast,Morgan
95613,3/11/2018,Pinot Noir,25,9,39,34.22222222,US,"Quite rich and full-bodied, this dry young Pinot is loaded with oodles of red currants, cherries, mocha and cola. It's a little hard and angular in tannins, suggesting midterm ageability. Best now, with decanting, and through 2011 or so.",Fort Ross Vineyard,90,California,6,Sonoma Coast,Sonoma,Fort Ross
117049,3/23/2018,Pinot Noir,25,9,14,34.22222222,US,"Shows real Pinot character in the light silkiness, nice acidity, and flavors of cherries, cream and vanilla spice. If you're just starting to get into the variety, this is a good intro.",Vintner's Reserve,84,California,6,California,California Other,Kendall-Jackson
56831,2/8/2018,Pinot Noir,25,9,12,34.22222222,Chile,"An earthy, rubbery Pinot that's not likely to sway the drinker of Burgundy any closer to Chile. This is tart, bulky stuff with size and zero subtlety.",Reserve,80,Central Valley,10,,,Peteroa
48429,2/4/2018,Pinot Noir,25,9,50,34.22222222,US,"Even in a less-than-ripe vintage such as this, the Leland stands out in the Erath lineup. Tight and herbal, this has an array of Pinot-specific fruits that are of medium concentration. Its balanced use of barrel aging brings a chocolate flavor to the finish.",Leland,88,Oregon,22,Willamette Valley,Willamette Valley,Erath
86353,3/4/2018,Pinot Noir,25,9,40,34.22222222,US,"From vines planted in 1984, this is the winery's reserve bottling. Aromas are inviting, varietal and complex, with layers of berry fruits, sassafras, cola and sandalwood. The wine catches the delicacy of the grape along with its unique ability to persist in the mouth despite its lightness. This looks to be ageworthy, elegant and special.",Heritage,90,Oregon,22,Yamhill-Carlton District,Willamette Valley,Kramer
112596,3/22/2018,Pinot Noir,25,9,19,34.22222222,Australia,This light- to medium-bodied Pinot features modest cherry-berry fruit and a touch of cinnamon spice. But there's also a slightly acrid tinge to the aromas and this otherwise well-made wine lacks intensity and character.,,83,Victoria,31,Mornington Peninsula,,Cooralook
65191,2/16/2018,Portuguese Red,26,1,26,26,Portugal,"A firmly dry wine, driven by the dark tannins, only opening slowly to give ripe berry fruits. The soft side of the wine does bring out the lighter nature of the Baga in the blend, which has been tamed by wood aging. There is a final flourish of fresh black plum juice.",Quinta das Baceladas,90,Bairrada,2,,,Caves Aliança
19859,1/11/2018,Portuguese White,27,1,24.5,24.5,Portugal,"With its toast and vanilla flavors, balanced with notes of green apple and plum, this is an attractive, ready-to-drink wine that rolls ripely around the mouth.",Reserva,87,Tejo,28,,,Quinta da Alorna
112585,3/21/2018,Red Blend,28,4,22,28.75,US,"This unusual blend, based on Lagrein, is dry and robust, the kind of full-bodied wine you drink in front of a fireplace when you want something warming. It's a tannic wine with lots of earth and cherries.",San Floriano,85,California,6,San Luis Obispo,Central Coast,Piedra Creek
70694,2/22/2018,Red Blend,28,4,15,28.75,Chile,"This Spanish producer's Chilean label relies on Cabernet and Carmenère for this blend, and it's a little vegetal and murky at first. Airing frees oak and creamy red-fruit flavors, while the chocolaty finish is of medium length.",Küme,85,Colchagua Valley,12,,,Guelbenzu
85254,3/3/2018,Red Blend,28,4,28,28.75,Italy,"La Grola is an opulent and luscious blended wine from Verona and this particular expression offers extra aromas of cured beef, leather and earth over a generous base of black fruit and spice. It shows soft, fine tannins that would pair with smoked ham.",La Grola,90,Veneto,30,Veronese,,Allegrini
42059,1/25/2018,Red Blend,28,4,50,28.75,US,"Aromas of raspberry, black licorice, woodspice, toast and cherry are followed by abundant red- and black-fruit flavors. There's plenty of richness and a finish that won't quit.",,91,Washington,32,Walla Walla Valley (WA),Columbia Valley,Northstar
78211,2/27/2018,Rhône-style Red Blend,29,1,30,30,US,"This Rhône-style blend of Grenache, Mourvèdre and Syrah has plenty of cherry and mocha deliciousness. It seems a bit sweet on the finish, so drink it with compatible foods, like bacon.",el Pape,87,California,6,Central Coast,Central Coast,Hug
2833,1/2/2018,Ribolla Gialla,30,1,22,22,Slovenia,"Aromas of honeysuckle, yellow canned peach and wet slate lead to flavors of grapefruit peel, citrus blossom and lemon zest in the mouth. The finish is crisp and zippy.",Rebula,89,Goriska Brda,15,,,Principiano Ferdinando
619,1/1/2018,Riesling,31,3,25,26,Germany,"Ripe, juicy peaches and nectarines burst from the nose and palate of this semisweet Riesling. Sunny and pristine, with a soft, lacy sweetness, it's balanced by bristling acidity and a delicate minerality on the finish.",Bernkasteler Badstube Spätlese,91,Mosel,17,,,Dr. Heidemanns-Bergweiler
79278,2/28/2018,Riesling,31,3,10,26,Germany,"Plump, creamy and off dry, this is Riesling that's easy and approachable, with bright lime sherbet and green apple notes. Drink now.",,85,Mosel,17,,,Starling Castle
70655,2/21/2018,Riesling,31,3,43,26,Germany,"The ‘goldkap,' or ‘gold capsule,' in this wine's designation indicates a riper cuvée than the producer's ordinary spätlese. As expected, the fruit is exuberant and lush with hints of tinned apricots and peach jam. An underlying note of lemon zest enlivens the palate and carries over to the long, flowery finish. There's lots of sweetness here; consider serving on its own.",Hallgartener Jongfer Spätlese Goldkap,91,Rheingau,25,,,Prinz
126854,3/28/2018,Rosé,32,2,24.5,18.25,France,"Prototypical Provence rosé, hinting at melon and peach but remaining very fresh and minerally at the same time, finishing dry and even a bit dusty, with strong overtones of citrus. Drink now.",,87,Provence,24,Côtes de Provence Sainte-Victoire,,Château Coussin
38364,1/21/2018,Rosé,32,2,12,18.25,Portugal,A strange orange-pink color for a wine that is somewhere between fruity and sweet and acid and bitter. This one hasn't found a balance.,Companhia das Lezírias Herdade de Catapereiro,82,Tejo,28,,,Wines & Winemakers
87970,3/6/2018,Sangiovese,33,3,24,64.25,US,"Tastes like a good, ripe Zinfandel, with red cherry, raspberry and licorice flavors as well as lots of pepper, cinnamon, anise and cloves. High alcohol gives it a hot feel. Drink now.",Stolpman Vineyard,86,California,6,Santa Ynez Valley,Central Coast,Santa Barbara Winery
45766,1/31/2018,Sangiovese,33,3,19,64.25,Italy,Rosso di Montepulciano (in this case Sangiovese is blended with 20% Merlot and aged in oak barrique) is a great wine to serve with pasta or easy meat dishes. The wine's natural acidity cuts through the fat in those dishes and leaves loads of wild berry on the fade.,,87,Tuscany,29,Rosso di Montepulciano,,Poliziano
97681,3/14/2018,Sangiovese,33,3,169,64.25,Italy,". There's a compact, traditional characteristic here that gives this wine smooth, sophisticated appeal. Aromas include white cherry, dried raspberry, tar, licorice and root beer. Twenty percent Malvasia Nera is added to the blend.",Vigneto Bellavista,90,Tuscany,29,Chianti Classico,,Castello di Ama
139506,4/2/2018,Sangiovese,33,3,45,64.25,Italy,"A dark wine with purplish pigmentation, excellent concentration and inten sity. Has cherry, leather and loads of toasted notes that do not overwhelm. Smooth, silky and spicy in the mouth, this textbook Brunello is almost too much of a good thing. Imported by Verdoni Imports.",,92,Tuscany,29,Brunello di Montalcino,,Corte Pavone
59357,2/10/2018,Sangiovese Grosso,34,1,30,30,Italy,"Vintner Gianni Pignattai has crafted a gorgeous Rosso di Montalcino that is a small step away in intensity and complexity from its big brother Brunello. Careful oak aging adds layers of spice and tobacco, but there's also an abundance of bright berry fruit. The wine is lean and compact in the mouth with a fresh close.",,90,Tuscany,29,Rosso di Montalcino,,Pietroso
8369,1/8/2018,Sauvignon Blanc,35,2,25,21,US,"Selected from the Ritchie Vineyard, this expressive white offers lychee and lemongrass, plus exotic back currents of spice that playfully interject themselves throughout the fruit. Refreshing in acidity the wine veers into tart grapefruit and lemon before settling on satisfying white peach.",Russian River Selection,88,California,6,Russian River Valley,Sonoma,Gary Farrell
8985,1/9/2018,Sauvignon Blanc,35,2,17,21,US,"A stunning squeeze of fresh tangerine enlivens both the aroma and palate of this crisp wine that's high in acidity and dancing in refreshing tangents of lemongrass, kiwi and pineapple. Enjoy poolside or on a patio.",Charlotte's Home,88,California,6,Northern Sonoma,Sonoma,Rodney Strong
62646,2/15/2018,Shiraz,36,2,10,46.5,Italy,"Here's a dense Shiraz from Lazio with aromas of mature blackberry, blueberry, cherry cola and root beer. The wine is soft and thick in the mouth with a chewy texture and offers loads of raw fruit flavors.",,85,Central Italy,7,Lazio,,Casale del Giglio
57427,2/9/2018,Shiraz,36,2,83,46.5,Australia,"Despite a tough vintage, this is a lush, complete wine. Vanilla and cedar notes on the nose serve to accent the layers of intense—verging on syrupy—blackberry fruit. It's easy enough to drink now, but rich enough that you may want to hold it another couple of years. Just don't expect this one to age more than a decade.",Command,93,South Australia,26,Barossa,,Elderton
42201,1/26/2018,Shiraz-Cabernet Sauvignon,37,1,15,15,Australia,This blend of 66% Shiraz and 34% Cabernet Sauvignon has an appealing green pepper edge that provides a lift to the intense berry and toast notes that float on a soft carpet of tannins. Solid length and definition. Drink now or hold a few years for more complexity.,Red Bucket,87,South Australia,26,South Australia,,Longview
135311,4/1/2018,Sparkling Blend,38,1,18,18,Spain,"Apple and peach define the bouquet, but where's the pop? This cava seems a touch quiet and reticent. It's drying, with flavors of apple, white corn and soda cracker. But the bead is weak and the overall personality is shy. Has 15% Chardonnay in addition to the traditional cava three-pack of Macabeo, Parellada and Xarello.",Gran Reserva Brut Nature,84,Catalonia,6,Cava,,Bohigas
22522,1/14/2018,Syrah,39,5,55,37,US,"Made from Carneros-grown grapes, this Syrah strikes the palate as rather candied in blackberries and cherries. It's smooth in the mouth, and the oak brings a pretty layer of smoky cedar.",,89,California,6,Napa Valley,Napa,Cakebread
24913,1/17/2018,Syrah,39,5,30,37,US,"Thick and concentrated, with brambly fruit and caramel from the American oak. The whole package is intense at first, but with air mellows into elegant flavors of red cherry and rich chocolate, and it would make a fine wine next to wintertime stews. Tasted two bottles with some bottle variation.",Tazetta Vineyard,88,California,6,Livermore Valley,Central Coast,Page Mill Winery
47089,2/1/2018,Syrah,39,5,45,37,US,"Awesome. A superior California Syrah, one of the finest of the vintage. Although it's dry, it's massive in blackberry and blueberry pie filling fruit, with interesting complexities of smoked meats, black pepper, minerals from the earth, cola and sandalwood. Just delicious now, and should hold in the bottle over the next six years.",Kobler Family Vineyard,94,California,6,Green Valley,Sonoma,Pax
71480,2/24/2018,Syrah,39,5,25,37,US,"The sources of this Syrah are all very good, including top vineyards from Santa Barbara, Arroyo Seco, Alexander Valley and Lake County. An example of the art of blending, it's a lovely wine, rich, dry and balanced, with an earthy edge to the ripe cherry and blackberry flavors.",Californa Cuvee,87,California,6,California,California Other,JC Cellars
