SEGMENTID,the_geom,COMPLEXID,SAFTYPE,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
175038,POINT (-73.87186669783729 40.72816227270645),0,,1,4041,1,4067988,4,05/14/2009 12:00:00 AM +0000,12/08/2014 12:00:00 AM +0000,9,EMS,,76184,RESURRECTN ASCN CH
41347,POINT (-73.92049120981508 40.621021104017544),0,,2,11673,4,3345503,3,05/14/2009 12:00:00 AM +0000,12/08/2014 12:00:00 AM +0000,2,EMS,,3276400,MARYY QN HEAVEN SC
175038,POINT (-73.87189961449762 40.72812950456888),0,,1,12220,4,4067988,4,05/14/2009 12:00:00 AM +0000,12/08/2014 12:00:00 AM +0000,2,EMS,,76184,RESURRECTN ASCN SC
74730,POINT (-73.88330360024472 40.732733629814774),2758,X,1,1005465,4,4443150,4,06/02/2011 12:00:00 AM +0000,12/08/2014 12:00:00 AM +0000,2,OTHER,40000901,74116,ST ADALBERT SCHOOL
7523,POINT (-74.12627862648907 40.56729083150483),0,,1,16491,6,5107624,5,05/14/2009 12:00:00 AM +0000,12/16/2014 12:00:00 AM +0000,2,EMS,,5075287,MSGR FARRELL HS
63798,POINT (-73.7360664923217 40.669290740559845),0,,1,11291,4,4438946,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,EMS,,315680,ST CLARE SCHL
156850,POINT (-73.84043923690393 40.719326524094456),0,,2,11437,1,4078039,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,9,EMS,,0,OUR LADY QUEEN OF MARTYRS CHURCH
55297,POINT (-73.81200234846833 40.675063120146326),0,,2,11503,4,4254718,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,EMS,,282133,OL CATHOLIC ACADEMY ROCKAWAY BLVD CAMPUS
67889,POINT (-73.92165262595445 40.758757930481),0,,2,12707,4,4436898,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,EMS,,12536,PRECIOUS BLOOD SCHL
23685,POINT (-73.9970705051839 40.69572890173205),0,,1,12987,2,3001944,3,05/14/2009 12:00:00 AM +0000,11/14/2016 12:00:00 AM +0000,1,NYPD,,3002899,THE BREUKELEN
9004048,POINT (-73.90725748784571 40.81613364665716),54,,1,1604,3,2091979,2,05/14/2009 12:00:00 AM +0000,11/14/2016 12:00:00 AM +0000,5,DoITT,,2101592,DOUGLAS LEON SENIOR CENTER
9008379,POINT (-73.8574507161742 40.82034373362985),0,,2,5068,4,2022204,2,05/14/2009 12:00:00 AM +0000,11/14/2016 12:00:00 AM +0000,5,EMS,,2036334,GRAND MANOR NH
35654,POINT (-73.94338575162338 40.724455857664665),0,G,2,17520,1,0,3,05/14/2009 12:00:00 AM +0000,08/30/2013 12:00:00 AM +0000,4,DPR,31248501,0,MSGR MAC GOLRICK PARK
162336,POINT (-74.01288030226573 40.71468114096676),0,,2,1017971,1,1001417,1,01/10/2013 12:00:00 AM +0000,11/14/2016 12:00:00 AM +0000,8,OTHER,,1001451,DC37 HEADQUARTERS
47505,POINT (-73.89488540768441 40.661903945469476),0,,,1562,9,0,3,05/14/2009 12:00:00 AM +0000,09/24/2013 12:00:00 AM +0000,4,DoITT,,0,PS 190 PLAYGROUND
39155,POINT (-73.9317816939085 40.55193133768824),36,,1,1002353,6,4000000,4,09/07/2010 12:00:00 AM +0000,09/16/2013 12:00:00 AM +0000,7,OTHER,,0,BREEZY POINT SURF CLUB
302616,POINT (-73.73609397534983 40.66678951372519),0,,,5606,2,4284726,4,05/14/2009 12:00:00 AM +0000,11/14/2016 12:00:00 AM +0000,5,DoITT,,316056,PAULINE BROWN
169796,POINT (-73.80949059744076 40.586823099041666),0,,2,13144,4,4538543,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,EMS,,9115718,ST ROSE LIMA SCHL
25862,POINT (-73.9538101715012 40.57768344405104),0,,1,4411,3,3245719,3,05/14/2009 12:00:00 AM +0000,11/25/2016 12:00:00 AM +0000,5,DoITT,,3305721,SCHEUER HOUSE OF MANHATTAN BEACH
13830,POINT (-74.10186809087145 40.64266756938925),2498,X,1,1018047,4,5146250,5,01/15/2013 12:00:00 AM +0000,09/20/2013 12:00:00 AM +0000,3,OTHER,51204503,0,S I CHILDREN'S MUSEUM
65251,POINT (-73.73868330184867 40.71212393150413),0,,1,13154,4,4239367,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,NYPD,,266534,ST JOACHIM AND ANNE SCHL
38476,POINT (-73.95607017480346 40.80441020218194),0,,1,1380,12,0,1,05/14/2009 12:00:00 AM +0000,09/24/2013 12:00:00 AM +0000,4,DPR,,0,GARDEN OF LOVE
107441,POINT (-73.80019068860933 40.74445911613919),3284,,1,962,3,0,4,05/14/2009 12:00:00 AM +0000,09/13/2013 12:00:00 AM +0000,4,DoITT,,0,KISSENA PARK GOLF COURSE
20215,POINT (-73.98975819401576 40.60626108806449),0,,2,16616,1,3162352,3,05/14/2009 12:00:00 AM +0000,11/25/2016 12:00:00 AM +0000,3,DoITT,,3208147,EDITH AND CARL MARKS JEWISH COMMUNITY HOUSE OF BENSONHURST
40425,POINT (-73.92454046891535 40.5919073828226),0,,2,17402,1,3249744,3,05/14/2009 12:00:00 AM +0000,11/25/2016 12:00:00 AM +0000,9,EMS,,3310479,ST JAMES EVANGELICAL LUTH
56579,POINT (-73.82020896789393 40.71117071400256),0,,1,12017,6,4206531,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,EMS,,229351,BISHOP MOLLOY
218251,POINT (-73.92395912032732 40.59143605318506),0,,2,13639,2,3343823,3,05/14/2009 12:00:00 AM +0000,11/25/2016 12:00:00 AM +0000,3,FDNY,,3310509,GERRITSEN BEACH LIBRARY
156961,POINT (-73.7576947840963 40.71925946321611),0,,1,11990,4,4225414,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,EMS,,251412,INCARNATION SCHOOL
89453,POINT (-73.84512668806046 40.88615770533026),151,G,1,7910,3,0,2,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,1,NYCHA,23002501,0,EDENWALD HOUSES COMPLEX
100755,POINT (-73.73670417962599 40.72319826856327),0,,2,11750,4,4229342,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,EMS,,351425,OL LOURDES SCHOOL
26027,POINT (-73.95296541820309 40.579026822458225),0,,1,11828,2,3246002,3,05/14/2009 12:00:00 AM +0000,11/25/2016 12:00:00 AM +0000,9,NYPD,,3306081,MANHATTAN BEACH BETH EL
17457,POINT (-74.03532417138535 40.639283497141335),0,,,12065,11,3144936,3,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,11,EMS,,3188603,MARINE AVIATION
118967,POINT (-73.7882839549826 40.590978654417185),0,,,4971,2,4459305,4,05/14/2009 12:00:00 AM +0000,12/09/2010 12:00:00 AM +0000,5,DoITT,,336930,LUCILLE ROSE DCC
9001243,POINT (-73.9327957651585 40.75994637187471),0,,,4972,2,4003978,4,05/14/2009 12:00:00 AM +0000,12/10/2010 12:00:00 AM +0000,5,DoITT,,5199,ALL CHILDREN'S INFANT CARE
24322,POINT (-73.9869303577803 40.70269289398972),0,,2,1028808,5,3000090,3,11/25/2016 12:00:00 AM +0000,11/25/2016 12:00:00 AM +0000,3,OTHER,,3000224,WORLD MUSIC INSTITUTE
148751,POINT (-73.87074586019085 40.80829884140449),19,,1,1028809,3,2115239,2,11/25/2016 12:00:00 AM +0000,11/25/2016 12:00:00 AM +0000,7,OTHER,,9101697,KRASDALE FOODS DIST
302788,POINT (-73.91259373198037 40.57691596553226),0,,,6836,11,0,3,05/14/2009 12:00:00 AM +0000,11/25/2016 12:00:00 AM +0000,6,NOAA,,0,GERRITSEN INLET BUOY 7
46496,POINT (-73.89800029785478 40.637923884246675),0,,1,3858,2,3231710,3,05/14/2009 12:00:00 AM +0000,11/15/2016 12:00:00 AM +0000,9,EMS,,3289527,AAA SFARD CONGR
55202,POINT (-73.81336659561404 40.683252374636496),0,,1,12122,4,4448916,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,EMS,,276926,OUR LADYS CATHOLIC ACADEMY 128 STREET CAMPUS
7504,POINT (-74.12683186167843 40.56520683097283),0,,2,2878,5,5058330,5,05/14/2009 12:00:00 AM +0000,11/15/2016 12:00:00 AM +0000,7,NYPD,,5075382,CANLONS RESTAURANT
145359,POINT (-74.07561922657169 40.580742904302255),0,N,1,19905,4,0,5,12/15/2008 12:00:00 AM +0000,09/18/2013 12:00:00 AM +0000,4,DCP,51135001,0,MIDLAND BOARDWALK AND BEACH
169796,POINT (-73.80932357405716 40.58620203379891),0,,,4023,1,4303594,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,9,EMS,,0,ST ROSE LIMA CHUR
52028,POINT (-73.83865956333142 40.68606687627114),0,,2,11969,4,4198431,4,05/14/2009 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,EMS,,220713,ST MARY SCHOOL GATE HEAVN
107836,POINT (-73.840719270436 40.71881465804413),0,,1,1002511,4,4443187,4,09/03/2010 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,OTHER,,86435,OUR LADY QUEEN OF MARTYRS SCHOOL
65326,POINT (-73.73763025124792 40.69846280910837),0,,2,1002512,4,4243292,4,09/03/2010 12:00:00 AM +0000,12/12/2014 12:00:00 AM +0000,2,OTHER,,270698,SACRED HEART SCHOOL 221 ST
9003771,POINT (-73.93767039250206 40.67308296053107),55,X,1,13351,3,3324614,3,05/14/2009 12:00:00 AM +0000,07/10/2012 12:00:00 AM +0000,1,DCP,31214503,3043932,ALBANY HOUSES BUILDING 2
26149,POINT (-73.95016016315071 40.5944428226137),0,,,4408,2,3202176,3,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,5,DoITT,,3255451,FANTASIA DCC
22864,POINT (-73.97855234314358 40.66818030222251),0,,,16282,2,3025606,3,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,5,DoITT,,3031701,BERKELEY CARROLL CCC
20312,POINT (-73.98821158407246 40.62870651546151),0,,,12066,2,3130163,3,05/14/2009 12:00:00 AM +0000,12/09/2010 12:00:00 AM +0000,9,EMS,,3316558,BETH SHEARIM YESHIVA
57704,POINT (-73.78876772926507 40.59391203551488),0,,2,1002509,2,4436431,4,09/03/2010 12:00:00 AM +0000,11/18/2016 12:00:00 AM +0000,1,OTHER,,336688,NORDECKER CO-OP
157194,POINT (-73.83739989827698 40.65062117120058),0,,1,1028748,2,4296026,4,11/18/2016 12:00:00 AM +0000,11/18/2016 12:00:00 AM +0000,7,OTHER,,328527,CROSS BAY HONDA SUZUKI
34649,POINT (-73.97799062909993 40.73891956105355),0,,2,1020446,7,1020607,1,06/05/2013 12:00:00 AM +0000,06/05/2013 12:00:00 AM +0000,2,OTHER,,1022683,TWENTY-SIXTH STREET APARTMENT RESIDENCE NYU COLLEGE OF DENTISTRY
76625,POINT (-73.87553354132712 40.75684578221107),0,N,1,10474,1,4034862,4,05/14/2009 12:00:00 AM +0000,05/07/2013 12:00:00 AM +0000,11,EMS,40012101,39410,NYPD PRECINCT 115
9002934,POINT (-73.96566408280091 40.79823099029733),138,X,1,17142,3,1079419,1,05/14/2009 12:00:00 AM +0000,02/08/2013 12:00:00 AM +0000,1,DCP,11135505,1046480,DOUGLASS II HOUSES BUILDING 13
152786,POINT (-74.13194859044482 40.68179635230409),0,,,6366,11,0,,05/14/2009 12:00:00 AM +0000,06/06/2011 12:00:00 AM +0000,6,NOAA,,0,17
35011,POINT (-73.95511615315161 40.73106203034594),0,,1,1020464,1,3064583,3,06/05/2013 12:00:00 AM +0000,06/05/2013 12:00:00 AM +0000,9,OTHER,,3083504,ST ELIAS CHURCH
35807,POINT (-73.9780735576864 40.755436571388415),0,,2,1020484,4,1088581,1,06/05/2013 12:00:00 AM +0000,06/05/2013 12:00:00 AM +0000,7,OTHER,,9117883,GOTHAM HOTL
9002835,POINT (-73.96826347823993 40.788353212038),385,,2,1019210,3,1081754,1,03/04/2013 12:00:00 AM +0000,03/04/2013 12:00:00 AM +0000,1,OTHER,,1028268,BROWNSTONES HOUSES BUILDING 27
9007656,POINT (-73.9476517312946 40.813276483717175),305,X,1,8163,3,1081513,1,05/14/2009 12:00:00 AM +0000,02/22/2013 12:00:00 AM +0000,1,DCP,13129512,1049308,ST NICHOLAS HOUSES BUILDING 11
52005,POINT (-73.83974810425836 40.68218742506122),0,N,1,10744,1,4201325,4,05/14/2009 12:00:00 AM +0000,02/14/2013 12:00:00 AM +0000,11,EMS,40010301,223839,PCT 106
32741,POINT (-73.99232796957479 40.72765110348664),0,N,1,5901,4,1008785,1,05/14/2009 12:00:00 AM +0000,02/27/2013 12:00:00 AM +0000,3,DoITT,11284501,1011110,MERCHANTS HOUSE MUSEUM
9006035,POINT (-73.94675811678952 40.79838192156359),333,G,1,8269,3,0,1,05/14/2009 12:00:00 AM +0000,02/26/2013 12:00:00 AM +0000,1,NYCHA,13220501,0,TAFT PROJECTS
74730,POINT (-73.8831602551921 40.73284827841803),2758,G,1,1020504,1,0,4,06/11/2013 12:00:00 AM +0000,07/31/2013 12:00:00 AM +0000,9,OTHER,40000902,0,ST ADALBERT'S CHURCH COMPLEX
24526,POINT (-73.98445290377612 40.71151664058803),469,X,1,17728,2,1003212,1,05/14/2009 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,1,DCP,12137704,1003640,GOUVERNEUR GARDENS BUILDING 3
42118,POINT (-73.92979250570984 40.66051014945508),0,,,17244,2,3099663,3,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,5,DoITT,,3135552,TRIUMPHANT DEAR GOD CHRISITAN CENTER
24541,POINT (-73.9844151842277 40.71336327777194),469,G,1,13402,2,0,1,05/14/2009 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,1,OTHER,12137701,0,GOUVERNEUR GARDENS
159259,POINT (-73.94804034964574 40.8048782862543),0,,1,3587,1,1057632,1,05/14/2009 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,9,NYPD,,1047983,MT OLIVET BAPT CH
26109,POINT (-73.94996523830235 40.588157886093484),0,,1,3866,1,3336751,3,05/14/2009 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,9,EMS,,0,ST MARKS CHURCH R C
80092,POINT (-73.89586362597787 40.87237929304535),398,X,2,7679,7,2097312,2,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,2,DoITT,24580004,2026808,DAVIS HALL
78850,POINT (-73.89190880056306 40.853338880963165),0,,1,1028875,3,2011594,2,12/06/2016 12:00:00 AM +0000,12/07/2016 12:00:00 AM +0000,10,OTHER,,9210098,UNION COMMUNITY HEALTH CENTER 3 AV
30790,POINT (-73.96041068397761 40.71506126694713),0,,1,14773,7,3062457,3,05/14/2009 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,4,DoITT,,3080136,METROPOLITAN RECREATION CENTER
37477,POINT (-73.96115001796902 40.77733080147216),0,,2,1028671,5,1046639,1,11/01/2016 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,3,OTHER,,1036674,ALASKA ON MADISON
236855,POINT (-74.00915893840181 40.73954494331987),0,N,2,1028672,4,1089239,1,11/01/2016 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,3,OTHER,11399501,5165930,WHITNEY ART MUSEUM
23848,POINT (-73.99362624999866 40.69403489029159),0,,,4314,2,3002073,3,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,5,DoITT,,3003062,KIDDIE KORNER PRE-SCHOOL
9017006,POINT (-73.98265307239335 40.740153109788125),0,,2,2322,4,1018080,1,05/14/2009 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,7,NYPD,,1060556,CARLTON ARMS HOTEL
36005,POINT (-73.97239713641096 40.76182942910241),0,,2,1028673,3,1035789,1,11/01/2016 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,10,OTHER,,1031050,STRANG CANCER PREVENTION INSTITUTE
164448,POINT (-73.98371380856157 40.73252908408717),0,,2,1028674,7,1020414,1,11/01/2016 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,2,OTHER,,1022414,THE NEW SCHOOL STUYVESANT PARK RESIDENCE
9003317,POINT (-73.98468940836712 40.71286002405108),469,X,1,8353,2,1003215,1,05/14/2009 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,1,DCP,12137703,0,GOUVERNEUR GARDENS BUILDING 2
32939,POINT (-73.98855661927739 40.732328684769044),0,,1,1028675,7,1076070,1,11/01/2016 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,2,OTHER,,1011571,THE NEW SCHOOL LOEB HALL RESIDENCE
24528,POINT (-73.98408081293341 40.71235657857696),0,N,2,13123,3,1003214,1,05/14/2009 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,2,DOE,10014401,5128861,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL
46221,POINT (-73.90294398540877 40.637489734868495),0,N,2,13059,3,3000000,3,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,13,DCP,32462801,0,CANARSIE CEMETERY
28941,POINT (-73.97739082736094 40.68065392340404),0,,1,1028676,7,3018704,3,11/01/2016 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,2,OTHER,,3023888,THE NEW SCHOOL KERREY HALL RESIDENCE
32910,POINT (-73.98767177343102 40.727554177465464),0,,2,15085,1,1006266,1,05/14/2009 12:00:00 AM +0000,04/15/2011 12:00:00 AM +0000,9,NYPD,,1007933,MIDDLE COLLEGIATE CHURCH
42640,POINT (-73.91637654374333 40.6562022106985),0,,,17274,2,3102632,3,05/14/2009 12:00:00 AM +0000,11/30/1899 12:00:00 AM +0000,5,DoITT,,3138985,CALVERY DAY CARE CENTER
32617,POINT (-73.99755112585629 40.73525104638486),0,,2,14324,7,1009567,1,05/14/2009 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,2,DoITT,,1012075,THE NEW SCHOOL EUGENE LANG COLLEGE
36005,POINT (-73.97290930131314 40.76206760838647),0,,1,2575,2,1035778,1,05/14/2009 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,7,NYPD,,1061560,IBM 212 407 4444
24528,POINT (-73.98433942467757 40.712000136908465),0,N,2,15844,9,0,1,05/14/2009 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,4,DoITT,11178501,0,LILLIAN D WALD PLAYGROUND
33534,POINT (-74.00045196632512 40.74350977559733),0,,1,1026615,7,1013220,1,07/22/2015 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,2,OTHER,,1016535,THE NEW SCHOOL 20 ST RESIDENCE
37438,POINT (-73.96451564777338 40.77335065712075),0,,1,1028670,2,1041644,1,11/01/2016 12:00:00 AM +0000,11/01/2016 12:00:00 AM +0000,7,OTHER,,1033578,APPLE STORE UPPER EAST SIDE
26964,POINT (-73.96118673724075 40.610382256702536),0,,1,15108,1,3181726,3,05/14/2009 12:00:00 AM +0000,12/21/2010 12:00:00 AM +0000,9,NYPD,,3230399,ADVENT GRAVESEND CHURCH
35805,POINT (-73.98126355166701 40.75717380009688),0,,2,1028429,4,1081126,1,09/15/2016 12:00:00 AM +0000,10/28/2016 12:00:00 AM +0000,7,OTHER,,1030314,HOTEL AT TIMES SQUARE
17129,POINT (-74.0233194641788 40.61541580764714),0,,1,1028569,4,3388853,3,10/07/2016 12:00:00 AM +0000,10/28/2016 12:00:00 AM +0000,5,OTHER,,5174069,HAMILTON PARK NURSING & REHABILITATION CENTER
17208,POINT (-74.02290041548412 40.61518477641494),0,,2,10942,1,3388854,3,05/14/2009 12:00:00 AM +0000,10/28/2016 12:00:00 AM +0000,10,EMS,,5143032,SUNY DOWNSTATE BAYRIDGE
36134,POINT (-73.97035968510488 40.75875360994348),0,,2,3588,1,1036474,1,05/14/2009 12:00:00 AM +0000,10/28/2016 12:00:00 AM +0000,9,NYPD,,5160836,ST PETER LUTHERAN CHURCH
159103,POINT (-73.97196376601792 40.759216128157924),0,,2,14819,2,1071457,1,05/14/2009 12:00:00 AM +0000,10/28/2016 12:00:00 AM +0000,5,DoITT,,1031330,THE CITIGROUP CHILDRENS CENTER AT 399 PARK AV
158589,POINT (-73.9722144732927 40.75847213753666),0,,2,16747,2,1036465,1,05/14/2009 12:00:00 AM +0000,10/28/2016 12:00:00 AM +0000,7,NYPD,,1031306,SEAGRAMS & SONS
164118,POINT (-74.01186489572196 40.72009271367199),540,,1,18753,7,0,1,05/14/2009 12:00:00 AM +0000,10/28/2016 12:00:00 AM +0000,2,NYPD,,0,MANHATTAN COMM CLGE PARKING LOT
